FID,OBJECTID,SHAPE,HTXT,HTXTK,HLINIEN,DIVA_ID,LTYP,WEBLINK1,SE_ANNO_CAD_DATA
OEFFHALTESTOGD.13929508,13929508,POINT (16.324077512822697 48.30104546958509),Klosterneuburg Jahngasse,Klosterneuburg Jahngasse,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Jahngasse&start=1,
OEFFHALTESTOGD.13929509,13929509,POINT (16.324185312310828 48.29964717002603),Klosterneuburg Sudetendeutscher Platz,Klosterneuburg Sudetendeutscher Platz,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Sudetendeutscher%20Platz&start=1,
OEFFHALTESTOGD.13929510,13929510,POINT (16.32615271311416 48.29842806975292),Klosterneuburg Nikolaihofgasse,Klosterneuburg Nikolaihofgasse,1,,2,https://anachb.vor.at?P=SQ&input=Klosterneuburg%20Nikolaihofgasse&start=1,
OEFFHALTESTOGD.13929511,13929511,POINT (16.10276398382029 48.091093951504696),Grub Ameisbühel,Grub Ameisbühel,252,,3,https://anachb.vor.at?P=SQ&input=Grub%20im%20Wienerwald%20Ameisbühel&start=1,
OEFFHALTESTOGD.13929512,13929512,POINT (16.10321308341263 48.09083595130994),Grub Ameisbühel,Grub Ameisbühel,252,,3,https://anachb.vor.at?P=SQ&input=Grub%20im%20Wienerwald%20Ameisbühel&start=1,
OEFFHALTESTOGD.13929513,13929513,POINT (16.1307015565835 48.056971041127554),Heiligenkreuz Volksschule,Heiligenkreuz Volksschule,308,,3,https://anachb.vor.at?P=SQ&input=Heiligenkreuz%20im%20Wienerwald%20Volksschule&start=1,
OEFFHALTESTOGD.13929514,13929514,POINT (16.347348451469095 48.30420656594744),Langenzersdorf Uferstraße,Langenzersdorf Uferstraße,856,,3,https://anachb.vor.at?P=SQ&input=Langenzersdorf%20Uferstraße&start=1,
OEFFHALTESTOGD.13929515,13929515,POINT (16.345623654985495 48.308006766603114),Langenzersdorf An den Mühlen Süd,Langenzersdorf An den Mühlen Süd,856,,3,https://anachb.vor.at?P=SQ&input=Langenzersdorf%20An%20den%20Mühlen%20Süd&start=1,
OEFFHALTESTOGD.13929516,13929516,POINT (16.346378258514964 48.3136467660975),Langenzersdorf An den Mühlen Nord,Langenzersdorf An den Mühlen Nord,856,,3,https://anachb.vor.at?P=SQ&input=Langenzersdorf%20An%20den%20Mühlen%20Nord&start=1,
OEFFHALTESTOGD.13929517,13929517,POINT (16.35146276081451 48.31535536443878),Langenzersdorf Fichtengasse,Langenzersdorf Fichtengasse,856,,3,https://anachb.vor.at?P=SQ&input=Langenzersdorf%20Fichtengasse&start=1,
